%time,field.data
3649060000000,0.256193161011
3649060000000,0.254275560379
3649100000000,0.250502347946
3649100000000,0.246683239937
3649140000000,0.240771174431
3649140000000,0.235218882561
3649180000000,0.231172561646
3649180000000,0.228474974632
3649220000000,0.226583480835
3649220000000,0.222989916801
3649260000000,0.217482447624
3649260000000,0.215733170509
3649300000000,0.211608767509
3649300000000,0.206735730171
3649340000000,0.203289866447
3649340000000,0.198328375816
3649380000000,0.194985389709
3649380000000,0.190248370171
3649420000000,0.186733007431
3649420000000,0.184815168381
3649470000000,0.180430173874
3649470000000,0.177529811859
3649510000000,0.170552492142
3649510000000,0.170372605324
3649550000000,0.164509654045
3649550000000,0.160814285278
3649590000000,0.156799077988
3649590000000,0.150103926659
3649630000000,0.148452877998
3649630000000,0.143984675407
3649670000000,0.142316460609
3649670000000,0.136515855789
3649700000000,0.136114001274
3649710000000,0.133203148842
3649750000000,0.13368844986
3649750000000,0.132877707481
3649750000000,0.130337238312
3649790000000,0.126752257347
3649790000000,0.125890016556
3649800000000,0.126696825027
3649820000000,0.124872326851
3649860000000,0.12173807621
3649900000000,0.120131492615
3649900000000,0.120016694069
3649940000000,0.119913697243
3649940000000,0.119657754898
3649980000000,0.119097828865
3649980000000,0.120614767075
3650020000000,0.119404673576
3650020000000,0.117810368538
3650060000000,0.118067979813
3650060000000,0.117487668991
3650100000000,0.118776917458
3650100000000,0.118870139122
3650140000000,0.117894053459
3650140000000,0.115368723869
3650180000000,0.117796421051
3650180000000,0.118610501289
3650230000000,0.122346043587
3650230000000,0.12326169014
3650230000000,0.125321626663
3650270000000,0.126363515854
3650270000000,0.127524852753
3650280000000,0.12627696991
3650300000000,0.126579761505
3650340000000,0.127502560616
3650380000000,0.129222512245
3650380000000,0.131947636604
3650420000000,0.133051633835
3650420000000,0.132925987244
3650460000000,0.134915471077
3650460000000,0.133900046349
3650500000000,0.136080026627
3650500000000,0.136618971825
3650540000000,0.140527963638
3650540000000,0.144644856453
3650580000000,0.144389629364
3650580000000,0.14538693428
3650620000000,0.151369690895
3650620000000,0.147960305214
3650660000000,0.153861165047
3650660000000,0.154819130898
3650700000000,0.158887386322
3650700000000,0.160979747772
3650740000000,0.163786888123
3650740000000,0.168145656586
3650780000000,0.168968081474
3650780000000,0.171262860298
3650820000000,0.17496740818
3650820000000,0.175377130508
3650860000000,0.178611397743
3650860000000,0.182554602623
3650900000000,0.183583378792
3650900000000,0.187977075577
3650940000000,0.192190885544
3650940000000,0.192281723022
3650980000000,0.195401787758
3650980000000,0.197516322136
3651020000000,0.200691461563
3651020000000,0.203722715378
3651060000000,0.205808401108
3651060000000,0.207616329193
3651100000000,0.208852648735
3651100000000,0.210080623627
3651140000000,0.211785316467
3651140000000,0.212031841278
3651180000000,0.212366938591
3651180000000,0.212860703468
3651220000000,0.211440086365
3651220000000,0.210344076157
3651260000000,0.208515882492
3651260000000,0.205095291138
3651300000000,0.202971577644
3651300000000,0.200123548508
3651340000000,0.197170376778
3651340000000,0.193261146545
3651380000000,0.188458561897
3651380000000,0.184297800064
3651420000000,0.179087758064
3651420000000,0.174107789993
3651460000000,0.170432806015
3651460000000,0.164479732513
3651500000000,0.158401966095
3651500000000,0.152459979057
3651540000000,0.14740896225
3651540000000,0.141536593437
3651580000000,0.135598421097
3651580000000,0.12812936306
3651620000000,0.122777581215
3651620000000,0.116106271744
3651660000000,0.111020922661
3651670000000,0.104356050491
3651670000000,0.0979262590408
3651700000000,0.0910865068436
3651700000000,0.0848368406296
3651720000000,0.0801548957825
3651740000000,0.073802947998
3651780000000,0.0668104887009
3651820000000,0.0619686841965
3651820000000,0.056386590004
3651860000000,0.0503807067871
3651860000000,0.0457844734192
3651900000000,0.0398261547089
3651900000000,0.0349749326706
3651940000000,0.0298464298248
3651940000000,0.0234965085983
3651980000000,0.0192151069641
3651980000000,0.0146803855896
3652020000000,0.0098968744278
3652020000000,0.0048520565033
3652060000000,-4.32133674622e-05
3652060000000,-0.00438022613525
3652100000000,-0.00801295042038
3652100000000,-0.0124379992485
3652140000000,-0.0172873139381
3652140000000,-0.022149682045
3652180000000,-0.025404214859
3652180000000,-0.0287175774574
3652220000000,-0.032084941864
3652220000000,-0.0353235602379
3652260000000,-0.0392923951149
3652260000000,-0.0424624681473
3652300000000,-0.045180439949
3652300000000,-0.0476630926132
3652340000000,-0.0515469908714
3652340000000,-0.0536509752274
3652380000000,-0.0561094880104
3652380000000,-0.0593377947807
3652420000000,-0.0622072815895
3652420000000,-0.0645065307617
3652460000000,-0.0667466521263
3652460000000,-0.0692535638809
3652500000000,-0.0714112520218
3652500000000,-0.0728860497475
3652540000000,-0.0749219059944
3652540000000,-0.0779977440834
3652580000000,-0.0762183666229
3652580000000,-0.0789235234261
3652620000000,-0.0789856314659
3652620000000,-0.0791443586349
3652620000000,-0.0801051855087
3652660000000,-0.0807014703751
3652660000000,-0.0813531279564
3652680000000,-0.081227004528
3652700000000,-0.080617249012
3652740000000,-0.0811622142792
3652780000000,-0.0804848074913
3652780000000,-0.0815646052361
3652820000000,-0.0818346142769
3652820000000,-0.0812393426895
3652860000000,-0.080726146698
3652860000000,-0.0898731946945
3652900000000,-0.110245168209
3652900000000,-0.130070745945
3652940000000,-0.149909794331
3652940000000,-0.170177817345
3652980000000,-0.189430117607
3652980000000,-0.20815718174
3653020000000,-0.227144658566
3653020000000,-0.246700644493
3653060000000,-0.265847682953
3653060000000,-0.284380853176
3653100000000,-0.303406178951
3653100000000,-0.322612345219
3653140000000,-0.341268122196
3653140000000,-0.360528409481
3653180000000,-0.378919482231
3653180000000,-0.396936237812
3653220000000,-0.417527854443
3653220000000,-0.434349179268
3653260000000,-0.453656196594
3653260000000,-0.472683429718
3653300000000,-0.49351900816
3653300000000,-0.511090457439
3653340000000,-0.530085653067
3653340000000,-0.548497527838
3653380000000,-0.568331837654
3653380000000,-0.587654978037
3653420000000,-0.605606019497
3653420000000,-0.622975111008
3653460000000,-0.641137719154
3653460000000,-0.659873187542
3653500000000,-0.676570534706
3653500000000,-0.692708075047
3653540000000,-0.709295719862
3653540000000,-0.712786287069
3653580000000,-0.712125808001
3653580000000,-0.709953635931
3653620000000,-0.706401437521
3653620000000,-0.703157484531
3653660000000,-0.699869662523
3653660000000,-0.695768356323
3653700000000,-0.690925717354
3653700000000,-0.686337023973
3653740000000,-0.68018630147
3653740000000,-0.673889517784
3653780000000,-0.668367892504
3653780000000,-0.662907987833
3653820000000,-0.655397087336
3653820000000,-0.648315161467
3653860000000,-0.638892561197
3653860000000,-0.629810005426
3653900000000,-0.620921552181
3653900000000,-0.610418647528
3653940000000,-0.599995881319
3653940000000,-0.590794175863
3653990000000,-0.580427378416
3653990000000,-0.570382386446
3654020000000,-0.560077607632
3654020000000,-0.547974050045
3654020000000,-0.537402838469
3654060000000,-0.52681389451
3654060000000,-0.516249299049
3654080000000,-0.506171375513
3654100000000,-0.496388077736
3654140000000,-0.489831507206
3654180000000,-0.482716679573
3654180000000,-0.476582705975
3654220000000,-0.47133398056
3654220000000,-0.468059420586
3654260000000,-0.467105746269
3654260000000,-0.464332520962
3654300000000,-0.459920704365
3654300000000,-0.455678761005
3654340000000,-0.453912734985
3654340000000,-0.450205743313
3654380000000,-0.446163117886
3654380000000,-0.437433183193
3654420000000,-0.429939687252
3654420000000,-0.418616890907
3654460000000,-0.852813437581
3654460000000,-0.396151661873
3654500000000,-0.383757829666
3654500000000,-0.372560799122
3654540000000,-0.364850282669
3654540000000,-0.358588457108
3654580000000,-0.349632322788
3654580000000,-0.340815126896
3654620000000,-0.331601262093
3654620000000,-0.322721242905
3654660000000,-0.313409090042
3654660000000,-0.304961025715
3654700000000,-0.294379651546
3654700000000,-0.284849405289
3654740000000,-0.274878263474
3654740000000,-0.26520973444
3654780000000,-0.25505566597
3654780000000,-0.245414555073
3654820000000,-0.23462086916
3654820000000,-0.22528398037
3654860000000,-0.216372728348
3654860000000,-0.205398023129
3654900000000,-0.195460617542
3654900000000,-0.186742782593
3654940000000,-0.178411722183
3654940000000,-0.16786634922
3654980000000,-0.158830463886
3654980000000,-0.15021699667
3655020000000,-0.142153382301
3655020000000,-0.134074509144
3655060000000,-0.125936388969
3655060000000,-0.117381215096
3655100000000,-0.109278857708
3655100000000,-0.101408004761
3655140000000,-0.0938980579376
3655140000000,-0.0863786935806
3655180000000,-0.0787294507027
3655180000000,-0.0718933939934
3655220000000,-0.0641664266586
3655220000000,-0.056686103344
3655260000000,-0.0498622059822
3655260000000,-0.0432341098785
3655300000000,-0.0368011593819
3655300000000,-0.0303060412407
3655340000000,-0.0247882604599
3655340000000,-0.0168823599815
3655380000000,-0.0109537243843
3655380000000,-0.00626403093338
3655420000000,-0.00114023685455
3655420000000,0.00377583503723
3655460000000,0.00916612148285
3655460000000,0.0129160881042
3655500000000,0.0172072649002
3655500000000,0.0224664211273
3655540000000,0.0260746479034
3655540000000,0.0303893089294
3655580000000,0.0363571643829
3655580000000,0.0400199890137
3655620000000,0.0457810163498
3655620000000,0.0474976301193
3655660000000,0.0530372858047
3655660000000,0.0572477579117
3655700000000,0.0610247850418
3655700000000,0.062344789505
3655740000000,0.0678191184998
3655740000000,0.0713500976562
3655780000000,0.075537443161
3655780000000,0.0778995752335
3655820000000,0.0816407203674
3655820000000,0.0842422246933
3655860000000,0.0871261358261
3655860000000,0.0910346508026
3655900000000,0.0929071903229
3655900000000,0.0965764522552
3655940000000,0.0980323553085
3655940000000,0.101588129997
3655980000000,0.103502988815
3655980000000,0.105331540108
3656020000000,0.107170462608
3656020000000,0.108807086945
3656060000000,0.108677506447
3656060000000,0.107863306999
3656100000000,0.107080936432
3656100000000,0.107217311859
3656140000000,0.104658007622
3656140000000,0.101944804192
3656140000000,0.0969976186752
3656180000000,0.0942894220352
3656180000000,0.0926033258438
3656210000000,0.090688586235
3656220000000,0.0884785652161
3656260000000,0.0880799293518
3656300000000,0.0850849151611
3656300000000,0.0853952169418
3656340000000,0.0850855112076
3656340000000,0.0853568315506
3656380000000,0.0838648080826
3656380000000,0.0840299129486
3656420000000,0.0827839374542
3656420000000,0.0820026397705
3656460000000,0.0813086032867
